Type,Name,LPrice,HPrice,Sales,Score,Level
新能源车,秦PLUS,7.98,17.98,48668,4.47,紧凑型车
新能源车,Model Y,24.99,35.49,39985,4.26,中型SUV
新能源车,海鸥,6.98,8.58,33544,4.63,小型车
新能源车,宋PLUS新能源,12.98,18.98,33422,4.45,紧凑型SUV
新能源车,驱逐舰05,7.98,12.88,24690,4.44,紧凑型车
新能源车,元PLUS,11.98,16.38,24646,4.43,紧凑型SUV
新能源车,宋Pro新能源,10.98,15.98,22130,4.42,紧凑型SUV
新能源车,汉,16.98,29.98,17240,4.43,中大型车
新能源车,AION Y,9.98,18.98,17190,4.51,紧凑型SUV
新能源车,AION S,13.98,14.68,16657,4.51,紧凑型车
新能源车,问界M9,46.98,56.98,16462,4.46,大型SUV
新能源车,宏光MINIEV,3.28,9.99,16441,4.35,微型车
新能源车,Model 3,23.19,33.59,15230,4.29,中型车
新能源车,五菱缤果,5.68,8.88,13870,4.47,小型车
新能源车,极氪001,26.90,40.30,13480,4.55,中大型车
新能源车,理想L6,24.98,27.98,12965,4.54,中大型SUV
新能源车,长安Lumin,4.99,6.99,12438,4.57,微型车
新能源车,唐新能源,17.98,26.98,12123,4.47,中型SUV
新能源车,海豚,9.98,12.98,10832,4.42,小型车
新能源车,问界M7,24.98,32.98,10181,4.45,中大型SUV
燃油车,轩逸,10.86,17.49,31600,4.58,紧凑型车
燃油车,朗逸,8.00,15.19,23952,4.46,紧凑型车
燃油车,锋兰达,12.58,18.48,21258,4.44,紧凑型SUV
燃油车,速腾,12.79,17.29,17558,4.57,紧凑型车
燃油车,奔驰C级,33.48,38.06,17000,4.54,中型车
燃油车,帕萨特,18.19,24.33,16504,4.42,中型车
燃油车,RAV4荣放,17.68,26.38,14257,4.45,紧凑型SUV
燃油车,星越L,13.72,18.52,14230,4.48,紧凑型SUV
燃油车,宝马3系,29.99,39.99,13831,4.51,中型车
燃油车,雅阁,17.98,22.88,13359,4.42,中型车
燃油车,奥迪A6L,42.79,65.68,12940,4.5,中大型车
燃油车,威兰达,17.38,26.48,12812,4.4,紧凑型SUV
燃油车,卡罗拉锐放,12.98,18.48,12526,4.39,紧凑型SUV
燃油车,探岳,20.49,25.99,12429,4.41,中型SUV
燃油车,长安CS75 PLUS,11.79,15.49,12400,4.44,紧凑型SUV
燃油车,奔驰E级,44.72,59.98,12000,4.51,中大型车
燃油车,瑞虎8,9.78,16.19,11618,4.53,中型SUV
燃油车,本田CR-V,18.59,26.39,11459,4.43,紧凑型SUV
燃油车,奥迪Q5L,39.88,48.88,11130,4.55,中型SUV
燃油车,迈腾,18.69,25.39,11122,4.46,中型车
